"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","139.5","","","","1"
"2021-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","140.2","","","","1"
"2021-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","141.0","","","","1"
"2021-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","141.8","","","","1"
"2021-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","142.6","","","","1"
"2021-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","143.1","","","","1"
"2021-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","143.7","","","","1"
"2021-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","144.1","","","","1"
"2021-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","144.4","","","","1"
"2021-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","145.7","","","","1"
"2021-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","146.0","","","","1"
"2021-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","146.0","","","","1"
"2022-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","147.4","","","","1"
"2022-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","148.8","","","","1"
"2022-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","150.8","","","","1"
"2022-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","151.6","","","","1"
"2022-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","153.7","","","","1"
"2022-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","154.4","","","","1"
"2022-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","154.6","","","","1"
"2022-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","154.1","","","","1"
"2022-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","154.1","","","","1"
"2022-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","155.2","","","","1"
